Year,Scope1,Scope2,Scope3,Total
2005,180000,120000,20000,320000
2006,175000,115000,21000,311000
2007,170000,110000,22000,302000
2008,179000,121000,21500,321500
2009,177000,120000,22000,319000
2010,175000,118000,22500,315500
2011,173000,116000,23000,312000
2012,170000,114000,23500,307500
2013,168000,112000,24000,304000
2014,165000,110000,24500,299500
2015,162000,108000,25000,295000
2016,160000,105000,25500,290500
2017,158000,100000,26000,284000
2018,155000,95000,26500,276500
2019,152000,90000,27000,269000
2020,150000,0,26000,176000
2021,147000,0,25500,172500
2022,145000,0,25000,170000
2023,142000,0,24500,166500
2024,140000,0,24000,164000
2025,138000,0,23500,161500
